taxon_group,conservation_score,feature_1,feature_2,feature_3
Mammals,0.85,1.2,0.8,3.1
Birds,,0.9,1.1,2.8
Reptiles,0.67,1.5,0.7,3.5
Mammals,,2.2,0.5,4.2
Birds,0.12,0.7,1.3,2.1
Reptiles,,1.8,0.6,3.9
Mammals,0.58,1.1,0.9,3.0
Birds,0.33,0.8,1.2,2.5
Reptiles,0.72,1.6,0.8,3.7
Mammals,0.41,1.3,0.7,3.2
Birds,0.88,1.0,1.0,2.9
Reptiles,0.55,1.4,0.6,3.6
Mammals,0.29,1.0,0.8,3.3
Birds,0.67,0.9,1.1,2.7
Reptiles,0.81,1.7,0.7,3.8
Mammals,0.36,1.2,0.9,3.4
Birds,0.21,0.7,1.2,2.2
Reptiles,0.63,1.5,0.8,3.4
Mammals,0.95,2.5,0.6,4.5
Birds,0.54,1.1,1.0,2.6
Reptiles,0.77,1.9,0.7,3.9
Mammals,0.12,0.8,0.7,3.0
Birds,0.39,0.9,1.3,2.4
Reptiles,0.69,1.6,0.9,3.7
Mammals,0.47,1.4,0.8,3.2
Birds,0.73,1.2,1.1,2.8
Reptiles,0.59,1.5,0.7,3.5
Mammals,0.22,1.0,0.9,3.1
Birds,0.61,1.1,1.2,2.7
Reptiles,0.84,1.8,0.8,3.8
Mammals,2.1,2.8,0.4,4.8
Birds,0.18,0.6,1.4,2.0
Reptiles,0.91,2.0,0.5,4.0
Mammals,0.39,1.2,0.8,3.3
Birds,0.56,1.0,1.1,2.6
Reptiles,0.65,1.7,0.6,3.6
Mammals,0.27,0.9,0.7,3.0
Birds,0.49,0.8,1.2,2.3
Reptiles,0.73,1.6,0.8,3.7
Mammals,0.62,1.5,0.9,3.5
Birds,0.35,0.7,1.3,2.2
Reptiles,0.88,1.9,0.7,3.9
Mammals,0.44,1.3,0.8,3.2
Birds,0.69,1.1,1.0,2.8
Reptiles,0.57,1.5,0.6,3.5
Mammals,0.31,1.0,0.7,3.1
Birds,0.62,0.9,1.2,2.7
Reptiles,0.79,1.8,0.8,3.8
Mammals,0.53,1.2,0.9,3.4
Birds,0.27,0.8,1.1,2.4
Reptiles,0.66,1.6,0.7,3.6
Mammals,0.85,2.0,0.6,4.2
Birds,0.41,1.0,1.3,2.5
Reptiles,0.74,1.7,0.8,3.7
Mammals,0.19,0.9,0.8,3.0
Birds,0.58,1.1,1.2,2.6
Reptiles,0.82,1.9,0.7,3.9
Mammals,0.37,1.1,0.9,3.3
Birds,0.23,0.7,1.1,2.1
Reptiles,0.61,1.5,0.8,3.4
Mammals,1.7,2.3,0.5,4.3
Birds,0.52,1.0,1.0,2.6
Reptiles,0.76,1.8,0.6,3.8
Mammals,0.14,0.8,0.7,3.0
Birds,0.38,0.9,1.2,2.3
Reptiles,0.68,1.6,0.9,3.7
Mammals,0.46,1.3,0.8,3.2
Birds,0.72,1.2,1.1,2.8
Reptiles,0.58,1.5,0.7,3.5
Mammals,0.21,1.0,0.9,3.1
Birds,0.60,1.1,1.2,2.7
Reptiles,0.83,1.8,0.8,3.8
Mammals,2.2,2.9,0.4,4.9
Birds,0.17,0.6,1.4,2.0
Reptiles,0.92,2.1,0.5,4.1
Mammals,0.38,1.2,0.8,3.3
Birds,0.57,1.0,1.1,2.6
Reptiles,0.66,1.7,0.6,3.6
Mammals,0.28,0.9,0.7,3.0
Birds,0.50,0.8,1.2,2.3
Reptiles,0.74,1.6,0.8,3.7
Mammals,0.63,1.5,0.9,3.5
Birds,0.36,0.7,1.3,2.2
Reptiles,0.89,1.9,0.7,3.9
Mammals,0.45,1.3,0.8,3.2
Birds,0.70,1.1,1.0,2.8
Reptiles,0.59,1.5,0.6,3.5
Mammals,0.32,1.0,0.7,3.1
Birds,0.63,0.9,1.2,2.7
Reptiles,0.80,1.8,0.8,3.8
